Word	Frequency	Posting list
indeed	1	[4]
you	3	[0, 2, 4]
true	1	[2]
whole	1	[0]
is	2	[0, 2]
youer	1	[2]
an	1	[1]
i	1	[1]
are	2	[2, 3]
unless	1	[0]
funny	1	[3]
better	1	[0]
care	1	[0]
faithful	1	[1]
lot	1	[0]
alive	1	[2]
98	1	[4]
guaranteed	1	[4]
from	1	[3]
thing	1	[3]
here	1	[3]
cent	1	[1]
succeed	1	[4]
than	1	[2]
no	1	[2]
someone	1	[0]
34	1	[4]
meant	1	[1]
one	2	[1, 2]
yes	1	[4]
that	1	[2]
today	1	[2]
who	1	[2]
said	1	[1]
truer	1	[2]
per	1	[1]
like	1	[0]
and	3	[1, 3, 4]
everywhere	1	[3]
get	1	[0]
not	1	[0]
going	1	[0]
elephant’s	1	[1]
percent	1	[4]
what	1	[1]
will	1	[4]
it’s	1	[0]
there	2	[2, 3]
to	2	[0, 3]
nothing	1	[0]
hundred	1	[1]
a	1	[0]
awful	1	[0]
