Word	Frequency	Posting list
back	6	[164, 165, 166, 398, 497, 800]
am	3	[103, 747, 748]
married	1	[815]
eternal	1	[554]
seventh	1	[1745]
which	1	[765]
race	4	[455, 1151, 1164, 1580]
rounder	1	[1209]
baron	1	[1428]
history	1	[110]
dracula	3	[273, 511, 1328]
g	3	[628, 629, 1762]
hot	1	[1938]
backdraft	1	[167]
set	1	[466]
somethings	1	[1326]
peter	3	[1107, 1108, 1109]
ridicule	1	[1183]
helsing	1	[1908]
jacket	1	[627]
wes	1	[1936]
affair	1	[1435]
goodfellas	1	[664]
apostle	1	[1440]
connie	1	[409]
mulholland	1	[1007]
walk	1	[51]
1	2	[826, 1633]
teahouse	1	[1773]
mystic	1	[1022]
delilah	1	[1233]
genius	1	[1167]
zombi	1	[1995]
fugitive	1	[748]
happiness	1	[1606]
kiranam	1	[1394]
till	1	[625]
killing	1	[1617]
zorro	3	[1658, 1659, 1661]
cry	1	[268]
1936	1	[292]
underworld	1	[1902]
car	1	[335]
ball	3	[175, 676, 984]
card	1	[672]
character	1	[358]
caddyshack	2	[318, 319]
de	2	[450, 939]
louise	1	[1818]
range	1	[730]
maverick	1	[949]
duck	2	[519, 520]
trap	1	[1696]
smile	1	[981]
1933	2	[519, 833]
transporter	1	[1787]
wargames	1	[1927]
drugstore	1	[518]
cadavra	1	[1642]
2	22	[12, 112, 153, 418, 477, 506, 670, 799, 827, 877, 921, 1132, 1218, 1254, 1301, 1346, 1614, 1738, 1779, 1871, 1932, 1995]
channel	1	[1404]
translation	1	[905]
for	19	[126, 191, 266, 444, 534, 600, 601, 602, 856, 915, 941, 1084, 1120, 1151, 1257, 1269, 1906, 1921, 1973]
daddy	1	[432]
breaker	1	[277]
vagabond	1	[1905]
easter	1	[529]
hell	1	[1369]
deal	1	[224]
woman	11	[37, 52, 154, 509, 717, 894, 943, 1249, 1942, 1948, 1975]
ragtime	1	[1155]
hole	2	[1471, 1593]
fu	1	[1660]
waterworld	1	[1930]
grouchland	1	[1430]
flyer	1	[1153]
stagecoach	1	[1354]
identity	1	[1478]
tell	1	[499]
hawaii	1	[252]
first	4	[586, 587, 588, 1547]
haine	1	[850]
predator	3	[89, 1131, 1132]
coronet	1	[829]
john	2	[805, 806]
swiss	1	[1403]
1960	1	[1058]
radio	1	[1153]
watch	1	[1929]
lacombe	1	[853]
morant	1	[277]
gump	1	[606]
cool	2	[412, 413]
luke	1	[412]
park	4	[665, 813, 814, 1952]
rocky	3	[1196, 1197, 1199]
bugsy	1	[305]
millennium	2	[968, 969]
city	7	[98, 152, 379, 380, 381, 382, 1500]
2005	3	[834, 1609, 1928]
lamp	1	[1474]
champ	1	[1496]
freddy	1	[616]
matthew	1	[1575]
breakfast	2	[278, 1483]
mission	2	[860, 1669]
lagoon	1	[420]
josie	1	[810]
between	1	[48]
south	1	[1330]
america	6	[72, 106, 114, 401, 761, 1068]
periscope	1	[503]
almost	1	[99]
hooper	1	[735]
deeply	1	[1884]
walker	1	[1924]
ruthless	1	[1221]
pather	1	[1097]
lonely	2	[766, 1046]
thornberrys	1	[1806]
tape	2	[521, 1411]
braindead	1	[272]
basic	1	[182]
good	9	[151, 658, 659, 660, 661, 662, 1570, 1571, 1572]
fail	1	[567]
street	7	[193, 224, 952, 1246, 1374, 1750, 1926]
vietnam	1	[661]
lagaan	1	[858]
rushmore	1	[1219]
cliffhanger	1	[387]
machine	1	[1829]
motorcycle	1	[1672]
chainsaw	1	[1779]
light	2	[379, 623]
inglourious	1	[778]
intention	1	[426]
cellular	1	[352]
spotless	1	[554]
rashomon	1	[1163]
alexander	1	[570]
sterile	1	[1759]
25th	1	[10]
pumpkinhead	1	[1142]
were	2	[1824, 1933]
rear	1	[1169]
nobody	1	[1045]
informer	1	[1605]
forbidden	2	[603, 604]
ladyhawke	1	[857]
dead	16	[216, 442, 443, 445, 451, 452, 499, 516, 559, 859, 898, 1290, 1390, 1518, 1536, 1720]
romy	1	[1206]
dream	4	[579, 998, 1396, 1940]
matter	1	[38]
illusion	1	[849]
stella	1	[1366]
jolson	1	[1612]
66	1	[302]
b	3	[351, 1008, 1224]
snatch	1	[1321]
sayonara	1	[1243]
hal	1	[1282]
impact	1	[460]
1968	2	[1205, 1717]
dean	1	[398]
abyss	1	[1426]
phibes	1	[1425]
hawk	2	[235, 1741]
dog	5	[94, 346, 1177, 1373, 1920]
minute	1	[1036]
asphalt	1	[1444]
assurance	1	[1510]
agent	1	[69]
sixteen	1	[1311]
goodnight	1	[1638]
where	2	[751, 1057]
tale	2	[33, 1289]
hudson	1	[993]
you	8	[2, 344, 520, 750, 754, 1419, 1984, 1985]
rib	1	[59]
mom	1	[499]
elizabeth	2	[541, 1716]
welcome	1	[1935]
hyde	1	[507]
voyager	1	[1053]
1926	1	[1561]
disney	1	[78]
dimension	1	[1429]
tide	1	[1712]
1942	3	[342, 1770, 1848]
cat	6	[234, 341, 342, 346, 347, 348]
1980	4	[152, 624, 649, 1137]
top	4	[1208, 1860, 1861, 1862]
invasion	1	[781]
bambi	1	[176]
without	2	[1170, 1971]
superman	3	[1386, 1387, 1389]
report	1	[972]
1961	1	[1696]
syndrome	1	[1497]
divorce	1	[487]
lilo	1	[886]
siege	1	[1901]
sign	1	[1745]
curie	1	[923]
bottle	1	[264]
quick	1	[1720]
saint	1	[1477]
child	5	[371, 372, 374, 1138, 1500]
jordan	1	[716]
could	1	[1945]
goodbye	1	[663]
beneath	3	[213, 787, 1941]
correspondent	1	[605]
met	1	[1947]
mexican	1	[1667]
day	21	[16, 30, 134, 147, 170, 432, 444, 445, 447, 448, 475, 578, 674, 775, 856, 1075, 1270, 1423, 1516, 1517, 1832]
head	4	[289, 699, 700, 769]
diamond	1	[472]
pelham	1	[1768]
chameli	1	[354]
cut	2	[1135, 1298]
legend	2	[872, 873]
goblet	1	[690]
avenger	1	[1445]
paddle	1	[1971]
countdown	1	[1544]
matilda	1	[948]
1944	2	[711, 866]
alfredo	1	[289]
triad	1	[1288]
1967	1	[1613]
2003	9	[366, 539, 731, 983, 1094, 1108, 1599, 1729, 1902]
8th	1	[1429]
stock	1	[897]
away	4	[279, 597, 1348, 1946]
call	2	[323, 1821]
almighty	1	[299]
ted	1	[230]
prince	4	[691, 1136, 1711, 1712]
robocop	1	[1193]
forever	3	[187, 472, 521]
better	4	[20, 215, 216, 977]
grand	4	[30, 667, 668, 1116]
april	2	[544, 1114]
broken	2	[294, 295]
kingdom	2	[838, 1420]
forest	1	[1702]
s1m0ne	1	[1223]
marnie	1	[942]
house	8	[227, 738, 739, 740, 998, 1187, 1461, 1597]
arrowsmith	1	[148]
patch	1	[42]
blimp	1	[1629]
incredibles	1	[1603]
family	3	[809, 1403, 1541]
costello	1	[53]
saintly	1	[43]
arc	1	[1698]
detective	1	[1579]
wound	1	[563]
plaid	1	[451]
news	2	[171, 1447]
rebel	1	[1170]
build	1	[998]
short	2	[1297, 1298]
belly	1	[210]
sunday	1	[140]
final	2	[591, 1544]
mob	1	[1625]
royale	1	[338]
next	1	[1564]
zombie	1	[1604]
tv	2	[1054, 1480]
stranger	3	[911, 1371, 1372]
intervention	1	[486]
little	9	[229, 437, 573, 715, 891, 892, 893, 894, 1634]
get	2	[151, 640]
alex	1	[756]
zulu	2	[1997, 1998]
shrunk	1	[733]
moon	7	[49, 467, 588, 934, 1091, 1773, 1975]
drive	1	[1007]
under	3	[416, 1728, 1901]
creole	1	[832]
yojimbo	1	[1982]
caged	1	[320]
selena	1	[1262]
wicker	2	[1803, 1952]
doo	1	[1252]
2006	2	[338, 456]
betty	1	[1056]
unforgiven	1	[1903]
dangerously	1	[1815]
dy	1	[1858]
cabin	2	[316, 317]
goony	1	[1574]
